generation,minimum,mean,maximum
60,118.516067826366,239.29517430919185,475.8879787829751
61,118.516067826366,239.2796399403585,475.6718488160443
62,118.516067826366,239.16857643325716,475.6718488160443
63,118.516067826366,239.0895829589762,474.9803659860254
64,118.516067826366,238.88832626160018,474.9803659860254
65,118.516067826366,236.33142573804116,474.9803659860254
66,118.516067826366,236.24585720436272,474.9803659860254
67,118.516067826366,234.73275877842752,474.9803659860254
68,118.516067826366,234.70150554864412,474.9803659860254
69,118.516067826366,234.3673713224909,474.9803659860254
70,118.516067826366,234.2908671093889,474.9803659860254
71,118.516067826366,234.29063193849,474.9803659860254
72,118.516067826366,234.05932678075015,474.9803659860254
73,118.516067826366,233.78466267033883,474.9803659860254
74,118.516067826366,233.59031449900218,474.9803659860254
75,118.516067826366,233.3908045868694,474.9803659860254
76,118.516067826366,233.38005852951255,474.9803659860254
77,118.516067826366,233.36789225126205,474.9803659860254
78,118.516067826366,233.36409926182324,474.9045061972497
79,118.516067826366,233.28718049260266,474.8801893554237
80,118.516067826366,233.26719831990414,474.7606092637727
81,118.516067826366,233.2607713353378,474.67522850071714
82,118.516067826366,233.2607713353378,474.67522850071714
83,118.516067826366,233.2607713353378,474.67522850071714
84,118.516067826366,233.2205821039343,474.3409017916754
85,118.516067826366,233.21153679590535,474.3409017916754
86,118.49424370241968,233.19810317795174,474.3409017916754
87,118.49424370241968,233.19102897527918,474.3409017916754
88,118.49424370241968,233.18377601694775,474.3409017916754
89,118.49424370241968,233.17995928571008,474.3409017916754
90,118.49424370241968,233.12087284091103,474.03615304335653
91,118.49424370241968,233.11971379042794,474.03615304335653
92,118.49424370241968,233.11484138126048,474.03615304335653
93,118.49424370241968,233.11417183145855,474.0227620473179
94,118.49424370241968,233.10625180262667,474.0227620473179
95,118.49424370241968,233.10625180262667,474.0227620473179
96,118.49424370241968,233.10043213591499,474.0227620473179
97,118.49424370241968,233.08578631420067,474.0227620473179
98,118.49424370241968,233.08578631420067,474.0227620473179
99,118.49424370241968,233.08524418229462,474.0119194091967
100,118.49424370241968,233.08524418229462,474.0119194091967
101,118.49424370241968,233.08524418229462,474.0119194091967
102,118.47878994747225,233.08288041397978,474.0119194091967
103,118.47878994747225,233.08288041397978,474.0119194091967
104,118.47878994747225,233.07733531706194,474.0119194091967
105,118.47878994747225,233.0681696688754,473.8884049515932
106,118.47878994747225,233.04643376491646,473.8884049515932
107,118.47878994747225,233.04603589608828,473.8884049515932
108,118.47878994747225,233.04603589608828,473.8884049515932
109,118.47878994747225,233.04075322287972,473.8884049515932
110,118.47878994747225,233.04075322287972,473.8884049515932
111,118.47878994747225,233.03838641000783,473.8884049515932
112,118.47878994747225,233.03838641000783,473.8884049515932
113,118.47878994747225,233.03838641000783,473.8884049515932
114,118.47878994747225,233.0347485534951,473.8884049515932
115,118.47878994747225,233.0329244779119,473.8884049515932
116,118.47878994747225,233.03016055012486,473.8518550201045
117,118.47878994747225,233.02951868554305,473.8518550201045
118,118.47878994747225,233.02685587330265,473.8518550201045
119,118.47878994747225,233.02685587330265,473.8518550201045
120,118.47878994747225,233.02685587330265,473.8518550201045
121,118.47878994747225,233.02677665740356,473.8518550201045
122,118.47878994747225,233.02677665740356,473.8518550201045
123,118.47878994747225,233.02677665740356,473.8518550201045
124,118.47878994747225,233.02677665740356,473.8518550201045
125,118.47878994747225,233.02677665740356,473.8518550201045
126,118.47878994747225,233.02538527618745,473.8518550201045
127,118.47878994747225,233.02538527618745,473.8518550201045
128,118.47878994747225,233.02457436605454,473.8518550201045
129,118.47878994747225,233.02457436605454,473.8518550201045
130,118.47878994747225,233.02457436605454,473.8518550201045
131,118.47878994747225,233.02457436605454,473.8518550201045
132,118.47878994747225,233.0220124803912,473.8210255940078
133,118.47878994747225,233.0220124803912,473.8210255940078
134,118.47878994747225,233.0220124803912,473.8210255940078
135,118.47878994747225,233.0220124803912,473.8210255940078
136,118.47878994747225,233.0220124803912,473.8210255940078
137,118.47878994747225,233.02156403243566,473.8210255940078
138,118.47878994747225,233.02156403243566,473.8210255940078
139,118.47878994747225,233.02156403243566,473.8210255940078
140,118.47878994747225,233.02156403243566,473.8210255940078
141,118.47878994747225,233.02156403243566,473.8210255940078
142,118.47878994747225,233.02056851829337,473.8210255940078
143,118.47878994747225,233.02056851829337,473.8210255940078
144,118.47878994747225,233.02056851829337,473.8210255940078
145,118.47878994747225,233.02056851829337,473.8210255940078
146,118.47878994747225,233.02056851829337,473.8210255940078
147,118.47878994747225,233.02056851829337,473.8210255940078
148,118.47878994747225,233.01938756657802,473.8210255940078
149,118.47878994747225,233.01938756657802,473.8210255940078
150,118.47878994747225,233.01938756657802,473.8210255940078
151,118.47878994747225,233.01938756657802,473.8210255940078
152,118.47878994747225,233.01848432649376,473.8206269710952
153,118.47878994747225,233.0184210561281,473.8206269710952
154,118.47878994747225,233.01407872574677,473.8206269710952
155,118.47878994747225,233.01407872574677,473.8206269710952
156,118.47878994747225,233.01254901535177,473.8206269710952
157,118.47878994747225,233.01254333055712,473.8206269710952
158,118.47878994747225,233.01254333055712,473.8206269710952
159,118.47878994747225,233.01197075079622,473.8206269710952
160,118.47878994747225,233.01132259321807,473.8206269710952
161,118.47878994747225,233.00684632214916,473.8206269710952
162,118.47878994747225,233.00684632214916,473.8206269710952
163,118.47878994747225,233.00684632214916,473.8206269710952
164,118.47878994747225,233.00568997084778,473.8206269710952
165,118.47878994747225,233.00503003597274,473.8206269710952
166,118.47878994747225,233.00503003597274,473.8206269710952
167,118.47878994747225,233.00503003597274,473.8206269710952
168,118.47878994747225,233.00503003597274,473.8206269710952
169,118.47878994747225,233.00379058854077,473.8206269710952
170,118.47878994747225,233.00379058854077,473.8206269710952
171,118.47878994747225,233.00379058854077,473.8206269710952
172,118.47878994747225,233.00379058854077,473.8206269710952
173,118.47878994747225,233.00379058854077,473.8206269710952
174,118.47878994747225,233.00379058854077,473.8206269710952
175,118.47878994747225,233.00379058854077,473.8206269710952
176,118.47878994747225,233.00379058854077,473.8206269710952
177,118.47878994747225,233.00215553884618,473.8206269710952
178,118.47595828937779,233.00017906141062,473.8206269710952
179,118.47595828937779,232.9991779061749,473.8206269710952
180,118.47595828937779,232.9991779061749,473.8206269710952
181,118.47595828937779,232.9978271297742,473.8206269710952
182,118.47595828937779,232.9978271297742,473.8206269710952
183,118.47595828937779,232.9978271297742,473.8206269710952
184,118.47595828937779,232.9978271297742,473.8206269710952
185,118.47595828937779,229.00805374936326,473.8206269710952
186,118.47595828937779,229.00805374936326,473.8206269710952
187,118.47595828937779,229.00805374936326,473.8206269710952
188,118.47595828937779,229.00805374936326,473.8206269710952
189,118.47595828937779,229.00805374936326,473.8206269710952
190,118.47595828937779,228.27393681527445,473.8206269710952
191,118.47595828937779,224.4563664446211,473.8206269710952
192,118.47595828937779,224.42172297961133,473.8206269710952
193,118.47595828937779,222.83440030714283,473.8206269710952
194,118.47595828937779,222.83440030714283,473.8206269710952
195,118.47595828937779,222.8338982041474,473.8206269710952
196,118.47595828937779,222.70147647741322,473.8206269710952
197,118.47595828937779,222.6060493475615,473.8206269710952
198,118.47595828937779,222.47896985460412,473.8206269710952
199,118.47595828937779,222.47896985460412,473.8206269710952
200,118.47595828937779,222.37368605203793,473.8206269710952
201,118.47595828937779,222.22412968340842,473.8206269710952
202,118.47595828937779,222.18528296258805,473.8206269710952
203,118.47595828937779,222.18528296258805,473.8206269710952
