method,seed,best_value,evaluations,elapsed_seconds,best_vector
GA_sigma_15pct,61000,0.42727576502829834,12000,0.0482679579872638,421.6004058 421.1347169 421.192332 420.5740285 422.6276202
GA_sigma_15pct,61001,150.7098255190715,12000,0.048135959019418806,409.3373569 -300.9713513 428.13699 422.1809878 429.1369305
GA_sigma_15pct,61002,121.39531572053875,12000,0.049308709043543786,420.7495458 -305.3576278 417.9239095 418.5132293 420.7530113
GA_sigma_15pct,61003,119.90033527609376,12000,0.051262290973681957,418.2653723 420.281509 421.83451 419.9496745 -303.945946
GA_sigma_15pct,61004,252.68376730519844,12000,0.054248458007350564,402.4569313 -325.9305011 426.0950398 431.9775604 427.7659954
GA_sigma_15pct,61005,118.59406766216443,12000,0.05084862496005371,420.6954138 421.1176586 -302.6031039 421.8536566 421.5580582
GA_sigma_15pct,61006,0.36727223977140966,12000,0.05270695802755654,420.5330456 420.1592699 422.1606046 420.3981499 420.4041386
GA_sigma_15pct,61007,119.64283316496403,12000,0.049989665974862874,420.6068354 -303.016072 423.9302804 420.34064 420.9412139
GA_sigma_15pct,61008,118.93442636855298,12000,0.0492766669485718,421.1157467 421.6305158 -301.7363469 419.8207924 419.7313232
GA_sigma_15pct,61009,119.02173929317883,12000,0.04924187500728294,418.8979293 -302.6483879 420.6709648 421.4211357 421.1429999
GA_sigma_15pct,61010,0.19292246831491866,12000,0.04893591703148559,420.5067502 420.4091277 420.7597346 420.4477674 421.7973958
GA_sigma_15pct,61011,355.84447946478326,12000,0.04881125001702458,-302.5762316 422.0243597 419.7404442 -302.9689097 -301.3551376
GA_sigma_15pct,61012,119.28431617549177,12000,0.04977270803647116,421.8467512 420.9395957 421.3821774 -300.2961429 421.8534334
GA_sigma_15pct,61013,237.10657742260582,12000,0.04940045898547396,420.5497749 -303.0569295 420.672411 -301.4043051 421.0892843
GA_sigma_15pct,61014,0.18472530647522944,12000,0.04934141697594896,420.6947999 421.8471844 421.1711317 421.6935119 421.1926426
GA_sigma_15pct,61015,0.1295842625604564,12000,0.04875970899593085,420.5162372 421.284196 421.5640199 420.5620693 421.4186154
GA_sigma_15pct,61016,119.15930110015302,12000,0.04857120802626014,-304.261927 420.8932349 419.5042992 421.6986858 420.9369927
GA_sigma_15pct,61017,237.54560506731582,12000,0.04906845901859924,421.8547927 421.9266544 419.9462522 -304.0255102 -303.0634847
GA_sigma_15pct,61018,119.10411528027521,12000,0.04910283401841298,420.4709998 421.1283839 423.0248704 -302.1465218 421.7616159
GA_sigma_15pct,61019,119.1068941936353,12000,0.0485037500038743,422.6437172 419.9271552 420.9925804 421.1394465 -303.6958368
random_search,90600,540.7711029541761,12000,0.06985683302627876,211.7246214 -284.7051442 435.4831494 -302.1958854 410.6210797
random_search,90601,644.1568020043312,12000,0.023102624982129782,431.9764197 414.7908313 53.90448734 387.2650764 -304.1398338
random_search,90602,428.67951000581024,12000,0.03018570801941678,441.9188055 412.5577917 453.8557951 211.850584 412.6033538
random_search,90603,352.68197542523217,12000,0.017562833963893354,435.1876928 394.0435925 440.6336794 457.5126195 436.897495
random_search,90604,519.6723853323417,12000,0.01400604099035263,195.195317 441.9915184 -302.9805338 421.7437429 452.3285046
random_search,90605,488.04769582666245,12000,0.010595292027574033,217.7341237 417.2650817 417.1925724 401.7804754 461.8825213
random_search,90606,529.9256496407675,12000,0.010238875052891672,-282.5016011 409.7835098 233.6673276 420.9268615 407.1470787
random_search,90607,491.80214264818846,12000,0.01018920901697129,360.4581017 402.9982633 397.0461583 424.8169674 411.7626945
random_search,90608,535.596140682052,12000,0.010283833020366728,185.8335661 402.6128249 451.0276117 421.7799023 -310.9162735
random_search,90609,518.2431490293097,12000,0.010466458974406123,-126.459502 436.0365591 418.2609977 396.8558761 -297.3317816
random_search,90610,608.7403695447672,12000,0.010288542020134628,451.8184382 -311.2004014 430.3816044 -490.2141341 428.8029147
random_search,90611,591.7212654471919,12000,0.009961625037249178,436.0440726 428.5032028 167.2467745 406.1837058 -322.8409696
random_search,90612,419.45960789731043,12000,0.010020999994594604,458.8158061 423.3185225 446.6546924 434.9394804 386.117164
random_search,90613,558.1842473425347,12000,0.010261917021125555,406.7202992 -304.3305355 206.7383125 -323.7551385 407.8280766
random_search,90614,589.288932749957,12000,0.010367584007326514,-260.8214579 377.8154868 421.0126092 431.9320172 399.3104144
random_search,90615,399.43678480542576,12000,0.01021891599521041,-289.9144259 434.6931871 -308.5234377 393.1844887 407.6836199
random_search,90616,504.7418326028155,12000,0.010346415976528078,448.9574325 426.4326757 411.8314849 436.1216342 56.54080591
random_search,90617,568.510826604733,12000,0.009993416955694556,419.4285373 430.0400621 417.5281831 436.1121831 -366.7283994
random_search,90618,465.60421431850455,12000,0.010016749962233007,432.1946781 425.3252062 -304.8959544 -329.7968296 -300.5342196
random_search,90619,706.4470655092289,12000,0.010075040976516902,386.2567577 423.3625825 188.5553872 -322.0202842 456.690666
