method,seed,best_value,evaluations,seconds,best_vector
GA_sigma_8pct,61015,0.20570564967690902,12000,0.05323274992406368,-1.17335223283 -0.629004538972 -0.489597130074 -1.41637298177 -0.257145674129 -0.555047820525 -1.11405092055
GA_sigma_8pct,61016,0.36578521157595023,12000,0.05332141602411866,0.0928434029115 -0.547384145521 -0.36640781995 -1.59285528647 -0.084359705326 -0.404215372662 -0.520006181512
GA_sigma_8pct,61017,0.2292249601879962,12000,0.05318691593129188,-1.18511636902 0.224646016928 -1.07971763889 -0.490424722284 -0.968926361838 -0.51798892673 -0.945440083936
GA_sigma_8pct,61018,0.3044832836957432,12000,0.05325558397453278,-1.22121851755 -0.71738638004 -0.559331402464 -0.172540844122 0.491577825281 -0.797925752158 -0.516364905813
GA_sigma_8pct,61019,0.32054540910413976,12000,0.05336741602513939,-0.216324339822 -0.765064766931 -1.50481811063 0.195637462503 -0.691614405663 -0.330789456673 -0.29702329344
random_search,90000,48.15833850446177,12000,0.010410959017463028,-4.84186162317 1.00704412399 1.72156890713 -0.979140875166 0.386354634767 2.85998091268 -2.86531641822
random_search,90001,47.1987563796288,12000,0.010192833025939763,-5.67946635414 -1.05176854091 0.304868366521 1.30877614775 -2.75470031387 -0.696245708513 -1.668849129
random_search,90002,39.52317479184227,12000,0.010390792042016983,-1.18767540365 -2.79492880332 0.579092879397 1.08233552666 -4.89440830004 -1.11270839589 -1.75538626124
random_search,90003,37.508079551358776,12000,0.010479208081960678,3.82461906657 -1.3804278623 1.06276189502 3.01994799641 2.18388854489 -1.1474482414 -1.17525277159
random_search,90004,21.809866009880768,12000,0.010294917039573193,-1.18493190653 3.63903660147 -0.983044280745 0.449322789456 -0.524932761305 0.664749210231 1.78813352785
random_search,90005,32.80783999244542,12000,0.010566749959252775,-1.27582597524 -1.01080286069 -2.28010177749 0.506835026532 -1.23101277156 2.57895518664 3.71009158485
random_search,90006,49.460696066103594,12000,0.010456999996677041,0.69984949841 0.998507984049 -2.77560393432 -3.307069543 -1.71657498829 -1.45666664456 -4.86367239465
random_search,90007,57.56479851155703,12000,0.010471666930243373,3.33433036029 -2.72756064594 -2.39919757009 -2.83351951403 -0.907582814731 4.30256143333 1.25658261906
random_search,90008,23.747793731836133,12000,0.010442750062793493,1.33596333848 -0.509670942042 -2.31863832422 2.52804922676 -1.87102651923 -2.1654792273 0.424171092826
random_search,90009,29.575796425207532,12000,0.010305417003110051,1.56711447506 -3.97723991836 -2.30276333223 -0.887913204503 -0.095829348252 -1.91584902441 0.861299915892
random_search,90010,52.76119529563089,12000,0.010485584032721817,-0.30976285779 -4.11219668924 5.0667007911 1.3738679127 -1.00842631682 0.291373188208 1.67298489152
random_search,90011,45.865503028949774,12000,0.01031983399298042,-1.65925497451 1.3386065648 -2.65155056063 0.102571815336 4.07304002593 -2.8060667572 -2.65630344278
random_search,90012,42.482737273448265,12000,0.010298250010237098,-0.267997061537 -1.60012386027 0.8856423648 1.79307519382 1.56636279982 -0.267300653812 -5.53367681579
random_search,90013,41.60572327947591,12000,0.01036620803643018,-0.976674992634 -3.42977004206 2.07985117004 2.93001628438 2.34494373602 -1.25060873528 2.31037678509
random_search,90014,41.55316640477537,12000,0.01031412510201335,1.95740242425 3.12513733452 4.88945880802 0.231006375756 0.338153085688 -0.729835750361 0.101863195132
random_search,90015,38.569308711735815,12000,0.010364833055064082,-3.64354070176 -0.528580736854 -2.421744822 -0.744536919279 0.0771180771603 3.27440840233 2.25813318371
random_search,90016,29.221121494607072,12000,0.010358415893279016,-1.13165586432 -3.53984096853 1.14471189432 2.18792588452 -0.785279553485 -2.09923544813 -1.81357716291
random_search,90017,42.54128142695235,12000,0.010288999998010695,0.0794186400642 0.798667820932 2.21889693178 1.10439028531 -1.22147440568 -5.22984657347 1.91163371214
random_search,90018,31.74340669677359,12000,0.010440042009577155,-4.25696434139 0.920451716284 -1.06899177013 1.63080167232 -1.33668234998 1.09813915173 -2.11901146352
random_search,90019,51.60624004483353,12000,0.010296417050994933,1.84357411572 -3.2975675873 1.4090418437 -0.916244334913 3.80351092844 0.211923026005 -4.02853544895
